0,0,0,0,-1,-1,-3,3
0,0,0,0,-1,-1,-3,3
0,0,0,0,-1,-1,-3,3
0,0,0,0,-1,-1,-3,3
0.233,0.0300763,0.0127705,-0.11578,-1,-1,-3,3
0.634,0.182472,0.162474,-0.900749,-1,-1,-3,3
1.088,0.151204,0.215602,4.10128,-1,-1,1.48219,3.51781
1.429,-0.0928698,0.152592,3.71301,-1,-1,1.60665,-1.60665
1.854,-0.380491,0.297011,3.97007,-1,-1,1.4786,-1.4786
2.238,-0.509209,0.0739553,-1.94731,-1,-1,2.80989,2.19011
2.653,-0.671473,-0.324215,-2.02782,-1,-1,2.5,2.5
3.05,-0.85007,-0.677244,-2.03308,-1,-1,2.5,2.5
3.467,-1.02283,-1.00164,-2.02367,4.56773,3.71572,3,-3
3.873,-1.15675,-1.15823,-1.51784,4.56773,3.71572,3,-3
4.311,-1.13069,-1.41012,-0.485041,4.56773,3.71572,3,-3
4.715,-1.093,-1.40737,0.55436,4.56773,3.71572,3.61622,1.38378
5.152,-0.94349,-1.05216,0.852461,4.56773,3.71572,1.48642,3.51358
5.558,-0.682635,-0.755492,0.704905,4.56773,3.71572,2.5,2.5
5.997,-0.349016,-0.471679,0.704909,4.56773,3.71572,2.5,2.5
6.357,-0.0748119,-0.238409,0.704911,4.56773,3.71572,2.5,2.5
6.807,0.267946,0.0531797,0.704905,4.56773,3.71572,2.5,2.5
7.187,0.557386,0.29941,0.704908,4.56773,3.71572,2.5,2.5
7.625,0.891002,0.583222,0.70491,4.56773,3.71572,2.5,2.5
8.023,1.19415,0.841115,0.704905,4.56773,3.71572,2.5,2.5
8.413,1.49197,1.09447,0.704908,4.56773,3.71572,2.5,2.5
8.862,1.8332,1.38477,0.704911,4.56773,3.71572,2.5,2.5
9.252,2.13026,1.63748,0.704906,4.56773,3.71572,2.5,2.5
9.684,2.45931,1.9174,0.704908,4.56773,3.71572,2.5,2.5
10.054,2.74113,2.15715,0.704911,4.56773,3.71572,2.5,2.5
10.476,3.06256,2.43059,0.704906,4.56773,3.71572,2.5,2.5
10.913,3.39542,2.71376,0.704907,4.56773,3.71572,2.5,2.5
11.337,3.71837,2.9885,0.704911,4.56773,3.71572,2.5,2.5
11.725,4.01466,3.24056,0.704906,4.56773,3.71572,2.5,2.5
12.149,4.33686,3.51466,0.704907,4.56773,3.71572,2.5,2.5
12.552,4.6039,3.71001,0.74861,3.34565,4.97261,3,-3
12.95,4.83437,3.66435,1.38996,3.34565,4.97261,3,-3
13.4,4.79239,3.80998,2.36472,3.34565,4.97261,3.38371,1.61629
