time,position_x,position_y,position_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w,joint_LW_J_Pitch,joint_RW_J_Pitch,joint_LW_J_Flap,joint_RW_J_Flap
3.55,0,0,0,0,0,0,1,2.8387,4.94662,2.90969,5.00913
3.6,0,0,0,0,0,0,1,1.3438,4.12178,1.39565,4.21186
3.65,0,0,0,0,0,0,1,0.491518,4.16585,0.492863,4.26489
3.7,0,0,0,0,0,0,1,1.49276,5.89402,1.46366,5.9553
3.75,0,0,0,0,0,0,1,3.20172,8.19135,3.17372,8.20148
3.8,0,0,0,0,0,0,1,5.26371,9.98198,5.21378,9.99621
3.85,0,0,0,0,0,0,1,7.37259,11.3997,7.3473,11.3529
3.9,0,0,0,0,0,0,1,7.4936,10.8786,7.48128,10.8173
3.95,0,0,0,0,0,0,1,6.45849,9.41706,6.45725,9.36419
4,0,0,0,0,0,0,1,4.62862,7.07526,4.63102,7.05365
4.05,0,0,0,0,0,0,1,2.76606,4.7627,2.75029,4.77898
4.1,0,0,0,0,0,0,1,1.35998,4.06205,1.2794,4.12135
4.15,0,0,0,0,0,0,1,0.645468,4.22539,0.5077,4.29486
4.2,0,0,0,0,0,0,1,1.66309,6.09597,1.56158,6.12235
4.25,0,0,0,0,0,0,1,3.39187,8.41835,3.40612,8.29836
4.3,0,0,0,0,0,0,1,5.34176,10.2141,5.53922,9.96326
4.35,0,0,0,0,0,0,1,7.29947,11.4004,7.52046,11.2465
4.4,0,0,0,0,0,0,1,7.2768,10.6387,7.43917,10.572
4.45,0,0,0,0,0,0,1,6.0422,9.08841,6.17506,9.01102
4.5,0,0,0,0,0,0,1,4.36286,6.66954,4.41414,6.63646
4.55,0,0,0,0,0,0,1,2.49102,4.45679,2.37847,4.56641
4.6,0,0,0,0,0,0,1,1.18775,3.94153,0.83366,4.09045
4.65,0,0,0,0,0,0,1,0.689212,4.23777,0.219913,4.38116
4.7,0,0,0,0,0,0,1,1.88097,6.2011,1.53272,6.27657
4.75,0,0,0,0,0,0,1,3.6413,8.57124,3.58676,8.30113
4.8,0,0,0,0,0,0,1,5.64868,10.2819,5.84132,9.91662
4.85,0,0,0,0,0,0,1,7.47036,11.3573,7.70627,11.1973
4.9,0,0,0,0,0,0,1,7.41769,10.5352,7.65472,10.4687
4.95,0,0,0,0,0,0,1,6.18652,8.95909,6.49746,8.79797
5,0,0,0,0,0,0,1,4.38467,6.50915,4.59211,6.47261
5.05,0,0,0,0,0,0,1,2.58484,4.28203,2.50308,4.66304
5.1,0,0,0,0,0,0,1,1.43357,3.87882,1.04068,4.27843
5.15,0,0,0,0,0,0,1,1.0423,4.32083,0.459356,4.67602
5.2,0,0,0,0,0,0,1,2.09685,6.4151,1.65696,6.62457
5.25,0,0,0,0,0,0,1,3.87384,8.75409,3.73106,8.63311
5.3,0,0,0,0,0,0,1,5.90354,10.3893,5.89954,10.2617
5.35,0,0,0,0,0,0,1,7.5116,11.4315,7.61902,11.2836
5.4,0,0,0,0,0,0,1,7.2808,10.5406,7.47135,10.4206
5.45,0,0,0,0,0,0,1,5.81995,8.8976,6.12765,8.72872
5.5,0,0,0,0,0,0,1,4.1413,6.375,4.3589,6.37632
5.55,0,0,0,0,0,0,1,2.31033,4.25465,2.32146,4.66703
5.6,0,0,0,0,0,0,1,1.13717,3.888,0.942343,4.31892
5.65,0,0,0,0,0,0,1,0.920493,4.41616,0.551749,4.82993
5.7,0,0,0,0,0,0,1,2.08054,6.58904,1.82281,6.80256
5.75,0,0,0,0,0,0,1,3.94755,8.85958,3.91678,8.85242
5.8,0,0,0,0,0,0,1,5.99108,10.5607,6.15481,10.4133
5.85,0,0,0,0,0,0,1,7.47576,11.4005,7.66168,11.3465
5.9,0,0,0,0,0,0,1,7.16963,10.4097,7.37981,10.4093
5.95,0,0,0,0,0,0,1,5.63234,8.66574,5.85873,8.65941
6,0,0,0,0,0,0,1,4.05421,6.13039,4.15005,6.23874
6.05,0,0,0,0,0,0,1,2.26608,4.15886,2.11704,4.6354
6.1,0,0,0,0,0,0,1,1.16304,3.91992,0.702737,4.34263
6.15,0,0,0,0,0,0,1,1.10859,4.60529,0.486594,4.99423
6.2,0,0,0,0,0,0,1,2.29577,6.81267,1.87388,7.03111
6.25,0,0,0,0,0,0,1,4.26638,8.90336,3.97714,9.19396
6.3,0,0,0,0,0,0,1,6.57566,10.3755,6.12626,10.9193
6.35,0,0,0,0,0,0,1,7.7478,11.2495,7.54866,11.5263
6.4,0,0,0,0,0,0,1,7.29112,10.2187,7.28852,10.4565
6.45,0,0,0,0,0,0,1,5.62559,8.40384,5.7277,8.62757
6.5,0,0,0,0,0,0,1,3.93039,5.96856,4.15142,6.08804
6.55,0,0,0,0,0,0,1,1.80294,4.34377,2.44931,4.37041
6.6,0,0,0,0,0,0,1,0.248424,4.13753,1.40939,4.17372
6.65,0,0,0,0,0,0,1,0.220274,4.9448,1.4696,4.93856
6.7,0,0,0,0,0,0,1,1.83551,7.0497,2.67313,7.13226
6.75,0,0,0,0,0,0,1,3.96747,8.98633,4.66786,9.3115
6.8,0,0,0,0,0,0,1,6.26752,10.5427,7.04507,10.7464
