time,position_x,position_y,position_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w,joint_LW_J_Pitch,joint_RW_J_Pitch,joint_LW_J_Flap,joint_RW_J_Flap
0.048,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.8225,0.935267,0.8225,-0.934567
0.049,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.84,0.931181,0.84,-0.93047
0.05,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.8575,0.926443,0.8575,-0.925731
0.051,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.875,0.921083,0.875,-0.920369
0.052,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.8925,0.915121,0.8925,-0.914407
0.053,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.91,0.908582,0.91,-0.907865
0.054,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.9275,0.90149,0.9275,-0.900765
0.055,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.945,0.893845,0.945,-0.893128
0.056,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.9625,0.885694,0.9625,-0.884976
0.057,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.98,0.877048,0.98,-0.87633
0.058,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.9975,0.867934,0.9975,-0.867212
0.059,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.015,0.858363,1.015,-0.857642
0.06,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.0325,0.848349,1.0325,-0.847642
0.061,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.05,0.837943,1.05,-0.837233
0.062,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.0675,0.827146,1.0675,-0.826435
0.063,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.085,0.815983,1.085,-0.815271
0.064,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.1025,0.804463,1.1025,-0.803759
0.065,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.12,0.792606,1.12,-0.79192
0.066,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.1375,0.780466,1.1375,-0.779774
0.067,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.155,0.768032,1.155,-0.767341
0.068,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.1725,0.755331,1.1725,-0.754641
0.069,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.19,0.742367,1.19,-0.741693
0.07,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.2075,0.729167,1.2075,-0.728515
0.071,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.225,0.715784,1.225,-0.715124
0.072,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.2425,0.702198,1.2425,-0.70154
0.073,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.26,0.688438,1.26,-0.687782
0.074,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.2775,0.674503,1.2775,-0.673866
0.075,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.295,0.660419,1.295,-0.659809
0.076,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.3125,0.646241,1.3125,-0.645625
0.077,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.33,0.631948,1.33,-0.631335
0.078,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.3475,0.617564,1.3475,-0.616951
0.079,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.365,0.603085,1.365,-0.602492
0.08,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.3825,0.58853,1.3825,-0.58797
0.081,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.4,0.573956,1.4,-0.573399
0.082,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.4175,0.559348,1.4175,-0.558794
0.083,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.435,0.544724,1.435,-0.544169
0.084,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.4525,0.530079,1.4525,-0.529538
0.085,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.47,0.515419,1.47,-0.514913
0.086,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.4875,0.500799,1.4875,-0.500306
0.087,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.505,0.486209,1.505,-0.485729
0.088,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.5225,0.47167,1.5225,-0.471193
0.089,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.54,0.45718,1.54,-0.45671
0.09,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.5575,0.442732,1.5575,-0.442291
0.091,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.57,0.416164,1.57,-0.41574
0.092,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-1.57,0.359045,1.57,-0.358646
