Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.96269786051038E-18,-0.0225,1.73852292297301E-18,0,0,0,0.00635649989496079,1.07828542773576E-06,6.91754242672403E-24,-2.8657332950023E-25,1.53486567387336E-07,6.48370505339519E-23,1.22051985420084E-06,0,0,0,0,0,0,package://URDF_LargeWings/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://URDF_LargeWings/meshes/base_link.STL,,Body^URDF_Bodies-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RW_Flap,0.00335273645464822,0.00332401287529993,-9.5470568989951E-21,0,0,0,1.17693121573423E-05,1.69338330378992E-11,-2.61983490684792E-11,1.63242107039253E-28,1.04518429929419E-10,-5.79055068765945E-29,1.1967215450352E-10,0,0,0,0,0,0,package://URDF_LargeWings/meshes/RW_Flap.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_LargeWings/meshes/RW_Flap.STL,,Wing Base^URDF_Bodies-1,Origin_RW_Flap,Axis1,RW_J_Flap,revolute,0.00666143782776616,0,0,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
RW_Pitch,0.075,-0.0217919871250799,3.00461767003954E-20,0,0,0,0.000877528688193489,2.20784802051055E-07,-1.94452067435317E-22,3.28740984197998E-26,1.64537443187689E-06,-3.13090473832643E-24,1.86614295089975E-06,0,0,0,0,0,0,package://URDF_LargeWings/meshes/RW_Pitch.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_LargeWings/meshes/RW_Pitch.STL,,Wing^URDF_Bodies-1,Origin_RW_Pitch,Axis3,RW_J_Pitch,revolute,0.00899999999999999,0.004,0,0,0,0,RW_Flap,-1,0,0,0,0,0,0,,,,,,,,
LW_Flap,-0.00335273645464822,0.00332401287529993,9.5470568989951E-21,0,0,0,1.17693121573423E-05,1.69338330378992E-11,2.61983490684792E-11,1.63242107039253E-28,1.04518429929419E-10,5.79055068765945E-29,1.1967215450352E-10,0,0,0,0,0,0,package://URDF_LargeWings/meshes/LW_Flap.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_LargeWings/meshes/LW_Flap.STL,,Wing Base^URDF_Bodies-2,Origin_LW_Flap,Axis2,LW_J_Flap,revolute,-0.00666143782776616,0,0,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
LW_Pitch,-0.075,-0.0217919871250799,0,0,0,0,0.000877528688193489,2.20784802051055E-07,-2.01043662941599E-22,3.28740984197998E-26,1.64537443187689E-06,-3.20889683582182E-24,1.86614295089975E-06,0,0,0,0,0,0,package://URDF_LargeWings/meshes/LW_Pitch.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_LargeWings/meshes/LW_Pitch.STL,,Wing^URDF_Bodies-2,Origin_LW_Pitch,Axis4,LW_J_Pitch,revolute,-0.00899999999999999,0.004,0,0,0,0,LW_Flap,1,0,0,0,0,0,0,,,,,,,,
